vMA-ESbm,,,eMAgES,,,IUDE,,,CORCO,,,DECODE,,
2.92E-27,3.60E-28,0.00E+00,2.87E-27,3.96E-28,0.00E+00,7.68E-28,6.72E-28,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.98E-27,4.89E-28,0.00E+00,2.89E-27,3.63E-28,0.00E+00,7.92E-28,6.41E-28,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.98E-27,4.63E-28,0.00E+00,4.06E-27,3.58E-28,0.00E+00,5.65E+02,1.93E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.01E+02,1.67E+01,0.00E+00,1.19E+02,2.80E+01,0.00E+00,6.45E+01,2.20E+01,0.00E+00,1.46E+01,1.40E+00,0.00E+00,1.46E+01,1.43E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.85E-28,1.77E-28,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.78E-01,1.32E+00,0.00E+00
5.30E+01,6.92E+01,0.00E+00,2.87E+02,1.31E+02,0.00E+00,8.59E+02,1.25E+02,1.61E-02,3.66E+02,7.84E+01,1.30E-02,6.71E+02,1.13E+02,0.00E+00
-1.65E+03,1.52E+02,0.00E+00,-1.37E+03,3.40E+02,0.00E+00,-1.96E+02,2.15E+02,8.34E-05,-4.30E+01,1.90E+02,0.00E+00,-1.36E+00,1.90E+02,0.00E+00
-1.35E-04,6.41E-17,0.00E+00,-1.35E-04,1.23E-16,0.00E+00,-1.33E-04,4.28E-06,0.00E+00,-1.32E-04,2.03E-06,0.00E+00,-1.33E-04,1.22E-06,0.00E+00
-2.03E-03,1.01E-05,0.00E+00,6.66E-01,1.87E+00,0.00E+00,-2.04E-03,0.00E+00,0.00E+00,-1.65E-03,6.07E-04,8.76E-05,2.61E+00,2.00E+00,5.37E-06
-4.83E-05,1.26E-09,0.00E+00,-4.83E-05,1.83E-09,0.00E+00,-4.83E-05,1.73E-11,0.00E+00,-4.81E-05,0.00E+00,0.00E+00,-4.82E-05,0.00E+00,0.00E+00
-2.01E+00,4.16E-05,0.00E+00,-3.70E+00,8.29E+00,2.26E-06,-1.21E+03,1.16E+03,4.83E+01,-4.25E+03,8.01E+02,1.10E+03,-4.75E+03,4.76E+01,1.00E+04
4.48E+01,2.18E+01,0.00E+00,5.06E+01,2.05E+01,0.00E+00,6.27E+00,1.51E+00,0.00E+00,9.02E+00,5.57E-01,0.00E+00,1.31E+01,1.27E+01,0.00E+00
1.15E+01,2.76E+01,0.00E+00,2.95E+02,4.44E+02,0.00E+00,1.87E+01,4.05E+01,0.00E+00,3.19E-01,1.10E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.10E+00,6.80E-16,0.00E+00,1.34E+00,3.74E-02,0.00E+00,1.10E+00,6.80E-16,0.00E+00,1.43E+00,2.70E-01,0.00E+00,1.10E+00,0.00E+00,0.00E+00
2.48E+00,6.28E-01,0.00E+00,1.45E+01,1.01E+01,2.05E-03,6.00E+00,5.10E+00,0.00E+00,2.35E+00,1.85E-03,0.00E+00,6.75E+00,1.57E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.28E+00,2.70E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.28E+00,7.50E-06,0.00E+00
3.65E+01,4.70E-03,0.00E+00,3.66E+01,5.93E-01,0.00E+00,3.73E+02,3.77E+01,1.17E+04,4.94E+02,6.26E+01,3.60E+03,7.59E+04,1.59E+04,2.50E+10
1.46E+01,2.64E+00,0.00E+00,1.52E+01,5.51E-01,0.00E+00,8.68E+00,3.99E-01,0.00E+00,3.60E+00,5.63E-01,0.00E+00,4.04E+00,7.41E-01,0.00E+00
4.52E+01,1.98E+01,0.00E+00,5.53E+01,1.68E+01,0.00E+00,1.13E+01,5.30E+00,0.00E+00,3.92E+02,8.14E+01,1.15E+01,2.85E+01,1.13E+01,0.00E+00
9.05E+00,2.50E+01,0.00E+00,9.76E+02,6.06E+02,0.00E+00,4.63E+02,5.01E+02,0.00E+00,7.54E+00,1.37E+00,0.00E+00,1.62E+01,1.78E+00,0.00E+00
1.10E+00,6.80E-16,0.00E+00,1.34E+00,4.52E-02,0.00E+00,1.10E+00,1.74E-02,0.00E+00,1.55E+00,2.03E-01,0.00E+00,1.45E+00,2.47E-01,0.00E+00
3.99E+00,2.42E+00,0.00E+00,1.22E+01,1.88E+00,0.00E+00,4.24E+00,3.01E+00,0.00E+00,2.35E+00,2.35E-03,0.00E+00,5.25E+00,8.70E-01,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.60E+00,1.75E+00,0.00E+00,2.47E-05,1.24E-04,0.00E+00,6.28E+00,6.19E-06,0.00E+00
3.66E+01,9.39E-03,0.00E+00,3.65E+01,5.16E-06,0.00E+00,4.95E+02,5.22E+01,1.79E+04,5.40E+02,5.94E+01,3.38E+03,2.54E+05,5.60E+04,2.91E+11
