,CAL_LSAHDE,LSHADE44+IDE,LSAHDE44,UDE,HECO-ES,HECO-DE,MA_ES,IUDE,LSAHDE_IEpsilon,DeCODE,CORCO
0,100,100,100,100,100,100,100,100,100,100,100
1,100,100,100,100,100,100,100,100,100,100,100
2,32,100,100,100,100,100,100,100,100,100,100
3,100,100,100,100,100,100,100,100,100,100,100
4,100,100,100,100,100,100,100,100,100,100,100
5,100,0,0,100,100,83,100,12,0,100,32
6,52,96,96,100,100,37,100,76,100,92,100
7,100,100,100,100,100,100,100,100,100,100,100
8,96,100,100,100,100,100,100,100,100,100,92
9,100,100,100,100,100,100,100,100,100,100,100
10,100,100,100,0,100,0,100,96,0,0,0
11,100,100,100,100,100,100,100,100,100,100,100
12,100,100,100,100,100,100,100,100,100,100,100
13,100,100,100,100,100,100,100,100,100,100,92
14,48,100,84,100,100,100,28,100,100,100,72
15,16,100,100,100,100,100,100,100,100,100,100
17,0,0,0,0,100,87,100,0,100,0,0
19,100,100,100,100,100,100,100,100,100,100,100
20,100,100,100,100,100,100,100,100,100,100,0
21,72,100,100,100,100,100,100,100,100,100,100
22,84,100,100,100,100,100,100,100,100,100,100
23,20,100,100,100,100,100,100,100,100,100,0.92
24,32,100,100,100,100,100,100,100,100,100,100
26,0,0,0,0,100,100,100,0,100,0,0
