,CAL_LSAHDE,LSHADE44+IDE,LSAHDE44,UDE,HECO-ES,HECO-DE,MA_ES,IUDE,LSAHDE_IEpsilon,DeCODE,CROCO
0,0,0,0,0,1.90E-29,3.84E-29,0,0,0,0,0
1,0,0,0,0,4.19E-28,4.84E-29,0,0,0,0,0
2,1300000,6695729.515,355118,74.64,6.76E-28,8.73E-29,0,129.09,7191.88292,0,0
3,115.734,13.85436195,13.5728,78.243,0,13.57278715,70.288536,13.667,13.572787,14.082,15.91924379
4,0.797325,0,0,0.15946,0,2.29E-29,0,0,0,0.478392,3.986623854
5,3745.32,5526.358756,4071.08,302.6,40.3,149.1494495,180.49277,429.41,492.255658,536.5976,337.6005533
6,-24.1162,-81.08768855,-109.428,-564.32,-1220,-281.6057577,-700.79561,-327.44,-277.201342,-79.966012,169.6303759
7,-0.000284,-0.00026262,-0.00028398,-0.00028063,-0.000284,-0.000283981,-0.00028398,-0.00028398,-0.00028398,-0.00028398,-0.000283981
8,0.0233628,-0.00266551,-0.00266551,-0.0026655,-0.00267,-0.002665507,-0.00266551,-0.0026655,-0.00266551,-0.00266543,0.001667048
9,-0.000103,-9.78E-05,-0.00010284,-0.00010143,-0.000103,-0.000102842,-0.00010284,-0.00010284,-0.00010284,-0.00010284,-0.000102842
10,0.780843,-0.865105,-0.874794,-26.974,-0.925,-382.7806746,-0.92493243,-0.54058,-768.984014,-2589.44,-2498.499477
11,14.2274,6.06794211,3.98532,16.454,51.6,3.982593096,46.093997,3.9826,3.98677697,3.98252,7.530405259
12,3534.75,26.01082559,6.14549,35.962,2.84E-27,7.69E-28,0,3.542,51.62985776,0,3.986623854
13,1.54841,1.90855058,1.8296,1.5575,1.41,1.408518126,1.6288508,1.4085,1.41199499,1.4085,19.47281665
14,24.0546,12.9119058,19.1951,9.0163,2.49,2.35612378,6.751316,5.8748,4.99506282,5.372052,2.347843251
15,211.879,143.0052535,146.335,7.9167,0,0,0,1.5707,6.28304615,6.283044,0
17,6705.49,4009.616932,2787.68,455.38,35.8,36.50826555,36.54818,180.8,36.52398292,33968.64,300.0635657
19,2.11336,2.24757634,1.41713,5.167,1.19,1.304105677,7.6634632,3.8852,1.93481846,2.168124,2.996312434
20,13.262,27.46714051,22.5123,14.785,47.8,10.1242258,48.446478,16.547,10.62153455,15.711456,250.853172
21,34214.7,844.010648,1268.44,120.99,2.78E-28,0.389335004,0,37.23,3730.830548,0.31892807,3.986623854
22,1.58179,1.85638469,1.71505,1.4595,1.41,1.412141113,1.650174,1.4294,1.40862778,1.812148,2.253602384
23,20.8766,13.9172079,12.1579,8.5136,2.36,2.356123785,9.1420162,2.4818,6.37736274,4.492392,2.348482883
24,207.224,140.6176721,142.188,13.195,1.44E-186,6.283046117,0,8.7336,25.50959716,6.283068,0
26,3141.71,52293.44546,9317.6,1003.5,35.8,36.59135359,36.576065,279.09,38.84268192,92925.08,277.4108219
