,CAL_LSAHDE,LSHADE44+IDE,LSAHDE44,UDE,HECO-ES,HECO-DE,MA_ES,IUDE,LSAHDE_IEpsilon,DeCODE,CORCO
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,0.0242065,0,0,0,0,0,0,2.50E-06,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
5,5.60E-06,0.01187663,0.00980528,4.28E-06,0,0.001904991,0,0.020875,0.00057525,0,0
6,0.00436664,0,0,0,0,0.000204011,0,4.36E-06,0,0,0
7,0.0012406,0,0,4.16E-06,0,3.32E-06,0,0,0,9.80E-07,0
8,1.56E-05,0,0,0,0,0,0.01289718,0,0,0,0
9,1.27E-05,0,0,0,0,0,0,0,0,5.81E-06,0
10,0.14709,0,0,0.20267,0,71.45748842,24.764879,0.00046694,107.199936,14930.88,1409.190105
11,0,0,0,0,0,0,0,0,0,0,1.275375474
12,18.7453,0,0,26.924,0,0,0,0,0,0,1.119300236
13,2.00E-05,0,0,0,0,0,0,0,0,0,0
14,1253.21,0,0,0,0,0,0.00023282,0,0,0,0
15,0.0488209,0,0,0,0,0,0,0,0,0,0
17,4052090000,27381107.79,3339520,136840000,0,0.001074602,0,56672,0,29624800000,18151.82356
19,2.00E-07,0,0,0,0,0,0,0,0,0,0
20,3.20E-07,0,0,0,0,0,0,0,0,0,94.97877585
21,46.1771,10.5940668,6.45721,427.87,0,0,0,74.761,132.5647179,0,917.0514326
22,3.68E-05,0,0,0,0,0,0,0,0,0,0
23,234.413,0,0,0,0,0,0,0,0,0,0
24,0.0295336,0,0,0,0,0,0,0,0,0,0
26,1370000000,1450241901,477623000,2031600000,0,4.392701891,0.86486889,308550,64.96932427,2.99848E+11,27083.40789
