,CAL_LSAHDE,LSHADE44+IDE,LSAHDE44,UDE,HECO-ES,HECO-DE,MA_ES,IUDE,LSAHDE_IEpsilon,DeCODE
0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2,0.00063352,0.0,6.67e-06,0.0,0.0,0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5,0.0053656,0.03766379,0.0323085,0.0068041,0.0,0,0.0,0.0,0.00207115,0.0
6,0.00309144,3.189e-05,2.114e-05,0.0012161,0.0,0,0.0,0.00020957,0.0,0.0
7,1.46e-05,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
8,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3.96e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2e-05,0.0,0.0,0.0029969,0.0,1.5e-09,0.0,0.0,0.0,3.826344120000001e-09
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.07939542,0.0,0.0,0.0
14,15.0705,0.0,9.178e-05,9.562e-05,0.0,0.0,0.02864758,0.0,0.0002751,0.0
15,0.0129993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5.5448,5.22001307,5.3,5.38,5.23,4.500164526,5.8498213,4.54001172,4.5,4.5
17,140366000.0,8226249.41374781,2378710.0,8288.5,0.0,0.0,0.0,13.272,0.0,105463516.0
18,4422.39,6633.59215962,6633.59,6633.6,6630.0,6633.59216,6634.8672,6633.59215962,6633.592,6633.600000000003
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.00094465,0.0,0.0,0.0
23,0.100907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.987e-05,0.0
24,0.012243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,5.50499,5.05267537,5.06007,5.4203,5.19,5.458333333,5.4174334,4.7864,5.02,4.5072719999999995
26,12600000.0,40476061.5248691,412724.0,10457.0,0.0,0.0,0.0,288.58,0.0,953375200.0
27,4436.25,6640.88562161,6650.23,6638.8,6630.0,6633.59216,6640.4388,6637.2,6654.40136,6633.600000000003
