,CAL_LSAHDE,LSHADE44+IDE,LSAHDE44,UDE,HECO-ES,HECO-DE,MA_ES,IUDE,LSAHDE_IEpsilon,DeCODE,CORCO
0,0.432564,6.21089457,0,0.0016241,1.62E-27,2.91E-20,0,0,1.60E-07,0,0
1,0.184568,2.31769624,0,0.001216,3.94E-26,1.37E-20,0,0,6.00E-08,0,0
2,9938948.898,226538803,2465620,679.82,4.31E-26,416.6420624,0,217940,150884.34,0,0
3,408.925707,13.57278715,13.5728,385.05,0,13.57278715,244.75875,286.35,14.145503,84.571,56.71236289
4,0.011586,2.00E-08,4.90E-06,64.73,26.4,8.31E-15,26.848019,0.00075131,4.1613893,0.0040382,0.389937562
5,15506.55819,15594.73293,15803.2,2329.4,132,819.484785,978.04021,3228.6,2660.6676,1390.6,685.6661431
6,-278.650432,-324.9872186,-301.161,-1649,-4270,-570.5014611,-2648.0732,-334.04,-469.77885,-3.1032,-217.7871572
7,0.027209,0.00144425,-4.82E-05,0.0028465,-4.62E-05,0.000659285,-4.61E-05,8.11E-05,0.00169268,0.0017727,0.001677123
8,0.000217,-0.00016642,-0.00142654,0.0018059,0,0,2.1631018,0.016186,0.0015523,0,0
9,0.000501,0.0004131,-1.72E-05,0.00056603,-1.58E-05,3.55E-05,-1.67E-06,-2.24E-06,0.00014972,0.00036803,0.000472732
10,-50.360027,-2.6415401,-3.49877,-247.8,-5,-4174.156735,-5.7286752,-2.8646,-7308.9311,-8935.8,-9182.295431
11,18.857919,5.02861128,32.4359,5.0286,31.6,31.59687078,31.576839,9.9956,18.860695,31.577,11.26814703
12,105873.4765,71.91728078,77.5776,34368,41,72.14046482,40.857894,190.36,68.611388,38.195,3.986623925
13,0.784209,0.97969089,0.975114,0.88856,0.784,0.784466473,0.95759138,0.78571,0.81724218,0.89766,1.114956873
14,27.764485,14.92253382,18.0641,18.064,2.36,5.497716433,14.922494,14.923,14.922494,11.781,14.92186106
15,697.443169,527.7875327,534.071,31.416,0,0,0,94.248,183.78309,6.2831,0
17,9546.835255,1825.971133,2284.07,5512.7,35.7,35.93183343,36.377005,565.62,37.21735,198640,1121.113101
19,7.3423,11.35106799,9.43968,19.084,4.62,7.421371525,35.578123,17.268,8.8585707,8.5147,7.678581424
20,9.995811,31.57863199,31.5787,14.603,31.6,4.504658376,31.576839,5.0286,9.9971518,3.9806,1073.859056
21,259925.3832,55114.80108,41146,50032,37.9,480.8705715,3993.7296,50356,830214.67,157.62,300.8462476
22,0.810964,0.95804893,0.97603,0.78432,0.784,0.784206134,0.96336836,0.79836,0.78824746,1.1095,0.810584244
23,21.817367,18.06409683,18.0641,18.064,2.36,5.497716433,8.6394093,14.922,18.064087,5.4977,2.355903746
24,717.802821,578.053064,548.208,163.36,9.01E-109,18.8494167,0,282.74,504.22552,31.416,12.56619027
26,47450.44185,22032.73063,29942,34239,35.7,32.03311552,36.377006,1423.5,719.06212,622490,1158.012569
