,CAL_LSAHDE,LSHADE44+IDE,LSAHDE44,UDE,HECO-ES,HECO-DE,MA_ES,IUDE,LSAHDE_IEpsilon,DeCODE,CROCO
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,40103.1993,225970.2775,21144.4,74.684,0,0,0,0,75.733699,0,0
3,35.818324,13.57278715,13.5853,18.904,0,0,31.894212,0,13.572787,13.573,13.57278715
4,0,0,0,0,0,0,0,0,0,0,0
5,307.64349,1750.595078,1368.85,76.915,0,0,0,0,0,0,0
6,-65.209283,-26.77758243,12.7815,-69.855,-421,-474.4259344,-297.52182,-129.26,-119.65237,-458.76,14.72716124
7,-0.001348,-0.0013484,-0.0013484,-0.0013484,-0.00135,-0.0013484,-0.0013484,-0.0013484,-0.0013484,-0.0013484,-0.0013484
8,-0.004975,-0.00497525,-0.00497525,-0.0049752,-0.00498,-0.004975247,-0.00497525,-0.00497525,-0.00497525,-0.00497525,-0.004101212
9,-0.00051,-0.00050965,-0.00050965,-0.00050965,-0.00051,-0.000509647,-0.00050965,-0.00050965,-0.00050965,-0.00050965,-0.000509647
10,-0.168819,-0.16881943,-0.168819,-5.9956,-0.169,-0.168818638,-0.16881943,-0.16882,-0.16881177,0.50856,-544.0093659
11,3.987902,3.98790246,3.99357,3.9879,3.99,3.988257964,3.9879025,3.9885,3.9879084,3.9879,4.901657409
12,0,0,0,0,0,0,0,0,0,0,0
13,2.628816,3.01258627,2.90533,2.3763,2.38,2.37633241,2.3763324,2.3763324,2.3763324,2.37633324,3.30419215
14,14.922494,11.78090174,14.9225,5.4977,2.36,2.35612378,8.6301231,5.4977,2.3561238,2.3561238,2.283536381
15,64.402746,39.27004112,39.27,6.283,0,0,0,0,0,1.5707,0
17,704.5,3338.985007,2925.75,53.533,35.8,36.59773349,36.597689,1.2987,36.597725,6840.5,0.141212744
19,0.757646,0.40117271,0.190791,1.3759,0.355,0.199292198,1.3180158,0.66166,0.60455629,0.5951,0.492536457
20,3.987902,3.98790246,3.9879,3.9879,3.99,3.987902464,3.9879025,3.9879131,3.9894928,3.9879,23.9809683
21,0,0,0,0,6.18E-30,2.49E-30,0,0,0,0,0
22,2.628819,3.06167129,2.40277,2.3763324,2.38,2.376332456,2.3763324,2.37633241,2.3763354,2.3763324,3.265015235
23,14.922494,8.63934578,8.63931,5.4977,2.36,2.35612378,5.4977875,5.4977,2.3561238,2.3561238,2.30295762
24,62.831714,39.26985049,39.2698,6.283,9.36E-299,1.570657125,0,0,0,1.5707,0
26,1020.389563,3763.25,1844.5,77.5,35.8,36.59770328,36.597689,35.985,36.597926,23194,8.152698395
