,CAL_LSAHDE,LSHADE44+IDE,LSAHDE44,UDE,HECO-ES,HECO-DE,MA_ES,IUDE,LSAHDE_IEpsilon,DeCODE,CORCO
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,0.001441,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
5,0,0.02546713,0.0126586,0,0,0,0,0.0094219,0.00144973,0,0.231085021
6,6.70E-05,0,0,0,0,0.001250935,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0.0042649,0,8.876972453,0,0,20.8184885,2202.8,895.3727738
11,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0.00568794,0,0,0,0
15,0.002821,0,0,0,0,0,0,0,0,0,0
17,767708.3702,1005599.04,2082.46,78579,0,0,0,3793.6,0,3092300000,623.3945564
19,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,2.276241212
21,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0
23,0.043439,0,0,0,0,0,0,0,0,0,0
24,0.000966,0,0,0,0,0,0,0,0,0,0
26,4086122.897,68298415.83,5101450,578580,0,0,0,6223.1,0,31114000000,1105.913171
