,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Best,2.94E-28,2.39E-28,6.54E-28,13.57278715,2.17E-29,245.4839934,-635.8481191,-0.000134534,-0.002037092,-4.83E-05,-2044.952856,3.981451575,1.24E-26,1.099952446,2.35612378,0,1.049999975,35.27804754,0,1.944461523,3.981449686,15.7170803,1.099952931,2.35612378,6.283046086,-1.92E+25,36.46942312,-0.266561467
Median,6.40E-28,5.72E-28,74.68233368,13.57278715,1.07E-27,326.1228643,-295.1418531,-0.000134512,-0.002037092,-4.83E-05,-1777.859246,3.981473595,9.61E-26,1.099952446,2.35612378,0,1.049999975,36.46957147,0,2.64910002,7.06921358,23.92224343,1.099953672,2.35612378,6.283046086,-1.90E+25,36.4703127,2.737014787
v,0,0,0,0,0,0,0.005264732,0,0,0,40.01314603,0,0,0,0,0,25.5,0,36116.22398,0,0,0,0,0,0,25.5,0,36122.44847
mean,7.44E-28,6.70E-28,40.50232711,13.57278715,1.58E-27,332.4039891,-286.6553601,-0.00013451,-0.002037092,-4.83E-05,-1625.559342,5.539852893,0.332218655,1.101098941,2.35612378,0,1.049999976,36.32007049,0,2.691674636,10.37216232,43.79822001,1.102141016,2.748828174,6.283046087,-1.90E+25,39.47085866,2.784920001
Worst,2.05E-27,1.33E-27,75.72280473,13.57278715,4.90E-27,416.1213441,-11.30123896,-0.000134464,-0.002037092,-4.83E-05,-615.7067161,18.14217564,3.986623854,1.111729442,2.35612378,0,1.049999978,37.21734996,0,3.419914048,39.65456238,105.2216547,1.152445211,5.497716433,6.283046099,-1.86E+25,95.10349978,8.959614375
std,3.38E-28,2.90E-28,38.05860063,2.37E-15,1.53E-27,43.49016078,139.7378739,2.10E-08,5.14E-16,3.08E-09,378.3023759,3.988862365,1.12554292,0.003170102,1.39E-15,0,1.01E-09,0.408503927,0,0.376942047,8.12770383,32.9589445,0.010714749,1.06132836,2.61E-09,1.62E+23,12.15973186,2.316552983
SR,100,100,100,100,100,87,12,100,100,100,0,100,100,100,100,100,0,66,0,100,100,100,100,100,100,0,95,0
vio,0,0,0,0,0,0.000301222,0.011039199,0,0,0,40.57425037,0,0,0,0,0,25.5,0.000182751,36116.22398,0,0,0,0,0,0,25.5,0.878612079,36123.19955
,Best,Median,v,mean,Worst,std,SR,vio,,,,,,,,,,,,,,,,,,,,
1,2.94E-28,6.40E-28,0,7.44E-28,2.05E-27,3.38E-28,100,0,,,,,,,,,,,,,,,,,,,,
2,2.39E-28,5.72E-28,0,6.70E-28,1.33E-27,2.90E-28,100,0,,,,,,,,,,,,,,,,,,,,
3,6.54E-28,74.68233368,0,40.50232711,75.72280473,38.05860063,100,0,,,,,,,,,,,,,,,,,,,,
4,13.57278715,13.57278715,0,13.57278715,13.57278715,2.37E-15,100,0,,,,,,,,,,,,,,,,,,,,
5,2.17E-29,1.07E-27,0,1.58E-27,4.90E-27,1.53E-27,100,0,,,,,,,,,,,,,,,,,,,,
6,245.4839934,326.1228643,0,332.4039891,416.1213441,43.49016078,87,0.000301222,,,,,,,,,,,,,,,,,,,,
