,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CAL-LSAHDE,11,11,11,11,10,5,10,11,11,9,5,7,11,11,11,11,9,11,5,10,11,11,11,8,232
LSHADE44+IDE,10,1,10,5,1,10,6,10,7,11,2,3,8,10,8,9,8,7,9,7,8,9,10,9,178
LSAHDE44,1,1,9,2,1,9,5,1,1,1,3,9,7,8,9,10,7,3,10,8,6,8,9,7,135
UDE,1,1,6,10,11,4,3,9,1,10,6,6,10,6,7,7,10,8,1,9,1,6,7,10,150
LSAHDE-IEpsilon,1,1,8,2,9,8,4,8,6,7,9,8,5,1,6,8,3,4,4,11,1,5,8,3,130
$\epsilon$MA$g$ES,1,1,1,9,1,2,2,1,8,1,4,10,9,7,10,1,2,10,7,6,6,7,1,2,109
IUDE,1,1,7,8,1,11,9,6,1,1,8,2,6,1,4,5,6,9,3,5,1,3,6,6,111
CORCO,1,1,1,2,1,4,8,6,1,5,10,4,1,11,1,1,5,5,11,2,11,1,1,5,99
DeCODE,1,1,1,2,1,5,7,6,11,5,11,5,1,1,5,5,11,7,5,3,10,5,4,11,124
HECO-DE,1,1,5,2,1,6,11,1,1,1,7,1,4,1,2,1,4,2,2,4,1,1,4,4,68
HECO-ES,1,1,1,1,1,1,1,4,5,8,1,11,1,1,3,1,1,1,8,1,1,2,1,1,58
