,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CAL_LSAHDE,1,1,10,10,1,6,9,10,1,8,5,4,10,6,10,10,9,5,5,9,6,10,10,7,163
LSHADE44+IDE,1,1,9,2,1,9,6,9,9,10,4,2,8,10,7,8,8,7,7,7,9,8,9,9,160
LSAHDE44,1,1,8,2,1,8,5,1,1,1,1,10,7,9,9,8,6,3,7,8,7,8,8,6,126
UDE,1,1,5,9,10,5,3,8,1,9,6,4,9,7,6,6,7,8,1,6,1,6,6,8,133
LSAHDE_IEpsilon,1,1,7,2,1,7,4,7,1,6,9,7,6,1,5,7,2,4,2,10,1,5,7,2,105
MA_ES,1,1,1,8,1,2,2,1,8,1,1,8,1,8,7,1,2,10,7,5,7,6,1,2,92
IUDE,1,1,6,7,1,10,8,1,1,1,7,2,1,1,1,4,5,9,2,4,1,1,3,5,83
DeCODE,1,1,1,2,1,4,7,6,10,5,10,4,1,1,4,4,10,6,5,2,10,4,3,10,112
HECO-DE,1,1,4,2,1,3,10,1,1,1,8,1,1,1,1,1,2,2,2,3,1,1,3,2,54
HECO-ES,1,1,1,1,1,1,1,1,1,7,1,8,1,1,1,1,1,1,7,1,1,1,1,1,43
